SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,usageType,operation,Region Code,serviceName
ASPWCMQDTJY87RZ2,JRTCKXETXF,ASPWCMQDTJY87RZ2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.0 per million messages for messaging in US East (N. Virginia),2024-11-01,0,Inf,Messages,0.0000010000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Messaging,USE1-AWSIoTSiteWise-Messaging,,us-east-1,AWS IoT SiteWise
EWQRRW2A9NASAX8M,JRTCKXETXF,EWQRRW2A9NASAX8M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$200 per pack in US East (N. Virginia),2024-11-01,0,Inf,Pack,200.0000000000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Edge,USE1-AWSIoTSiteWise-Edge-Data-Processing,,us-east-1,AWS IoT SiteWise
JHUTNEN8DV7TGTM3,JRTCKXETXF,JHUTNEN8DV7TGTM3.JRTCKXETXF.8EEUB22XNJ,OnDemand,USD 120.0 per month enablement fee for AWS IoT SiteWise Assistant - us-east-1,2024-11-01,0,1,Monthly Fee,120.0000000000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Assistant,USE1-AWSIoTSiteWise-Assistant-Fee,InvokeAssistant,us-east-1,AWS IoT SiteWise
JHUTNEN8DV7TGTM3,JRTCKXETXF,JHUTNEN8DV7TGTM3.JRTCKXETXF.JTU8TKNAMW,OnDemand,USD 120.0 per month enablement fee for AWS IoT SiteWise Assistant - us-east-1,2024-11-01,1,Inf,Monthly Fee,0.0000000000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Assistant,USE1-AWSIoTSiteWise-Assistant-Fee,InvokeAssistant,us-east-1,AWS IoT SiteWise
MD36RGQGP4ZX6AD8,JRTCKXETXF,MD36RGQGP4ZX6AD8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000041667 per GB-hour ($0.001 per GB-day) for data storage warm tier in US East (N. Virginia),2024-11-01,0,Inf,GB-Hours,0.0000416700,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Storage Warm,USE1-AWSIoTSiteWise-StorageWarm,,us-east-1,AWS IoT SiteWise
MTX6XY65TF4RTS8A,JRTCKXETXF,MTX6XY65TF4RTS8A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00041667 per GB-hour ($0.01 per GB-day) for data storage in US East (N. Virginia),2024-11-01,0,Inf,GB-Hours,0.0004166700,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Storage,USE1-AWSIoTSiteWise-Storage,,us-east-1,AWS IoT SiteWise
QZPTSVF6F56GFX23,JRTCKXETXF,QZPTSVF6F56GFX23.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per thousand objects for data export in US East (N. Virginia),2024-11-01,0,Inf,Objects,0.0000050000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Data Export,USE1-AWSIoTSiteWise-DataExport,,us-east-1,AWS IoT SiteWise
TTPSM3HNYFUH5N75,JRTCKXETXF,TTPSM3HNYFUH5N75.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 120.0 per  5,000 API Calls for AWS IoT SiteWise Assistant  - us-east-1,2024-11-01,0,Inf,API Calls,0.0240000000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Assistant API,USE1-AWSIoTSiteWise-Assistant-API-Base,InvokeAssistant,us-east-1,AWS IoT SiteWise
VU78S4T5N8KNM7D6,JRTCKXETXF,VU78S4T5N8KNM7D6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.0 per unique active user per month for SiteWise Monitor in US East (N. Virginia),2024-11-01,0,Inf,Users,10.0000000000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Monitor,USE1-AWSIoTSiteWise-MonitorUsers,,us-east-1,AWS IoT SiteWise
YRTT88F75WWY4HVA,JRTCKXETXF,YRTT88F75WWY4HVA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.5 per million computations for data processing in US East (N. Virginia),2024-11-01,0,Inf,Computations,0.0000005000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise Computations,USE1-AWSIoTSiteWise-Computations,,us-east-1,AWS IoT SiteWise
ZBMFD8R9Z79H7WJM,JRTCKXETXF,ZBMFD8R9Z79H7WJM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per GB scanned in US East (N. Virginia),2024-11-01,0,Inf,GB,0.2000000000,USD,AWSIoTSiteWise,AWSIoTSiteWise,US East (N. Virginia),AWS Region,AWS IoT SiteWise DataScanned,USE1-AWSIoTSiteWise-Query,,us-east-1,AWS IoT SiteWise
