SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,usageType,operation,Activity Type,Classification Type,Content Source,Content Type,Logs Source,Logs Type,Region Code,serviceName
4H3346BKWTDGYWFY,JRTCKXETXF,4H3346BKWTDGYWFY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per 100K Objects for PaidAutomatedObjectMonitoring in US East (N. Virginia),2023-07-01,0,Inf,Object-days,0.0000000033,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Paid Object Monitoring,USE1-PaidAutomatedObjectMonitoring,,,,,,,,us-east-1,Amazon Macie
68UF79VFUVPWGYG3,JRTCKXETXF,68UF79VFUVPWGYG3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 for Macie daily usage in US East (N. Virginia),2023-07-01,0,Inf,days,0.0000000000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Daily Usage,USE1-MacieDailyUsage,,,,,,,,us-east-1,Amazon Macie
7P4URVJQFA398K3E,JRTCKXETXF,7P4URVJQFA398K3E.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per 100K Objects for FreeAutomatedObjectMonitoring in US East (N. Virginia),2023-07-01,0,Inf,Object-days,0.0000000000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Free Object Monitoring,USE1-FreeAutomatedObjectMonitoring,,,,,,,,us-east-1,Amazon Macie
7S593Q8SJ895FUQ2,JRTCKXETXF,7S593Q8SJ895FUQ2.JRTCKXETXF.8EEUB22XNJ,OnDemand,$0.00 per GB first 1 GB / month of Sensitive Data Discovery in US East (N. Virginia),2023-07-01,0,1,GB,0.0000000000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Sensitive Data Discovery,USE1-SensitiveDataDiscovery,,,,,,,,us-east-1,Amazon Macie
7S593Q8SJ895FUQ2,JRTCKXETXF,7S593Q8SJ895FUQ2.JRTCKXETXF.PWHPK8JZFE,OnDemand,$1.00 per GB for the next 50,000 GB / month of Sensitive Data Discovery in US East (N. Virginia),2023-07-01,1,50000,GB,1.0000000000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Sensitive Data Discovery,USE1-SensitiveDataDiscovery,,,,,,,,us-east-1,Amazon Macie
7S593Q8SJ895FUQ2,JRTCKXETXF,7S593Q8SJ895FUQ2.JRTCKXETXF.D525RNHDH3,OnDemand,$0.50 per GB for the next 450,000 GB / month of Sensitive Data Discovery in US East (N. Virginia),2023-07-01,50000,500000,GB,0.5000000000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Sensitive Data Discovery,USE1-SensitiveDataDiscovery,,,,,,,,us-east-1,Amazon Macie
7S593Q8SJ895FUQ2,JRTCKXETXF,7S593Q8SJ895FUQ2.JRTCKXETXF.4Q8N5BDBT4,OnDemand,$0.25 per GB over 500,000 GB / month of Sensitive Data Discovery in US East (N. Virginia),2023-07-01,500000,Inf,GB,0.2500000000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Sensitive Data Discovery,USE1-SensitiveDataDiscovery,,,,,,,,us-east-1,Amazon Macie
DHCHQNHUWYZCC8QU,JRTCKXETXF,DHCHQNHUWYZCC8QU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0033 per S3 Bucket analyzed daily in US East (N. Virginia),2023-07-01,0,Inf,Bucket-days,0.0032880000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Paid Data Inventory Evaluation,USE1-PaidDataInventoryEvaluation,,,,,,,,us-east-1,Amazon Macie
GWK8HPN8WKVSGSGX,JRTCKXETXF,GWK8HPN8WKVSGSGX.JRTCKXETXF.8EEUB22XNJ,OnDemand,First 1 GB of S3 content classified by Macie Classic is free,2023-07-01,0,1,GB,0.0000000000,USD,AWS Security Services - Macie Content Processing,AmazonMacie,US East (N. Virginia),AWS Region,,USE1-S3ContentClassification,,Classification,Full,AWS,AmazonS3,,,us-east-1,Amazon Macie
GWK8HPN8WKVSGSGX,JRTCKXETXF,GWK8HPN8WKVSGSGX.JRTCKXETXF.JTU8TKNAMW,OnDemand,$5 per GB of S3 content classified by Macie Classic,2023-07-01,1,Inf,GB,5.0000000000,USD,AWS Security Services - Macie Content Processing,AmazonMacie,US East (N. Virginia),AWS Region,,USE1-S3ContentClassification,,Classification,Full,AWS,AmazonS3,,,us-east-1,Amazon Macie
PVUP37QGFKM3DPUX,JRTCKXETXF,PVUP37QGFKM3DPUX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per GB for Free Automated Sensitive Data Discovery in US East (N. Virginia),2023-07-01,0,Inf,GB,0.0000000000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Free Automated Sensitive Data Discovery,USE1-FreeAutomatedSensitiveDataDiscovery,,,,,,,,us-east-1,Amazon Macie
VFRXNTVH566BXSWT,JRTCKXETXF,VFRXNTVH566BXSWT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB per month for extended storage of Macie Classic classification results,2023-07-01,0,Inf,GB,0.0500000000,USD,AWS Security Services - Macie Content Processing,AmazonMacie,US East (N. Virginia),AWS Region,,USE1-S3ClassificationInfoStorage,,Results Storage,Full,AWS,AmazonS3,,,us-east-1,Amazon Macie
VK7MJHSYWUZZ2QMY,JRTCKXETXF,VK7MJHSYWUZZ2QMY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per S3 Bucket analyzed (free trial) in US East (N. Virginia),2023-07-01,0,Inf,Bucket-days,0.0000000000,USD,Amazon Macie,AmazonMacie,US East (N. Virginia),AWS Region,Security Services - Amazon Macie Free Data Inventory Evaluation,USE1-FreeDataInventoryEvaluation,,,,,,,,us-east-1,Amazon Macie
Z9277XNH6M8V9ESX,JRTCKXETXF,Z9277XNH6M8V9ESX.JRTCKXETXF.NADQ2ZJX8V,OnDemand,First 100,000 CloudTrail events processed by Macie Classic are free,2023-07-01,0,100000,Events,0.0000000000,USD,AWS Security Services - Macie Log Processing,AmazonMacie,US East (N. Virginia),AWS Region,,USE1-EventsProcessing,,Aggregation,,,,AWS,AWSCloudTrail,us-east-1,Amazon Macie
Z9277XNH6M8V9ESX,JRTCKXETXF,Z9277XNH6M8V9ESX.JRTCKXETXF.FF8BMSDA2R,OnDemand,$4 per 1 million CloudTrail events processed by Macie Classic,2023-07-01,100000,Inf,Events,0.0000040000,USD,AWS Security Services - Macie Log Processing,AmazonMacie,US East (N. Virginia),AWS Region,,USE1-EventsProcessing,,Aggregation,,,,AWS,AWSCloudTrail,us-east-1,Amazon Macie
