SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,Group Description,usageType,operation,Edition,Pack Size,Q Present,Region Code,serviceName,Subscription Type,Usage Group
2XE6QEX4JKTVDM2U,JRTCKXETXF,2XE6QEX4JKTVDM2U.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Enterprise Edition Author Pro (free trial) - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,0.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Author Pro Subscription,Number of Author Pro subscriptions in the service (free trial),USE1-Author-Pro-Enterprise-Free-Trial,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Free
6B5DXN2GPARZZRH5,JRTCKXETXF,6B5DXN2GPARZZRH5.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.0 per month fee for Amazon Q in QuickSight (free trial) for US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,Month,0.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Amazon Q in QuickSight Enablement Fee,Monthly fee for Amazon Q in QuickSight (free trial),USE1-Amazon-Q-QS-Fee-Free-Trial,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Free
7PQVTTZGKYVJENSY,JRTCKXETXF,7PQVTTZGKYVJENSY.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Enterprise Edition Reader Pro with an entitlement to Amazon Q - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,0.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Reader Pro Subscription with Amazon Q,Number of Reader Pro subscriptions in the service that include an entitlement to Amazon Q,USE1-Reader-Pro-Enterprise-Month-Q,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Paid
B23WCNJ3RN5TAJRH,JRTCKXETXF,B23WCNJ3RN5TAJRH.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Enterprise Edition Reader - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,3.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Reader Subscription,Number of Reader subscriptions in the service,USE1-Reader-Enterprise-Month,,Enterprise,Not Applicable,FALSE,us-east-1,Amazon QuickSight,Monthly,Paid
CBK33VETENVNECW6,JRTCKXETXF,CBK33VETENVNECW6.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Author Pro with an entitlement to Amazon Q (free trial) - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,0.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Author Pro Subscription with Amazon Q,Number of Author Pro subscriptions in the service that include an entitlement to Amazon Q (free trial),USE1-Author-Pro-Enterprise-Month-Q-Free-Trial,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Free
F3CRRKG85U8SJQD6,JRTCKXETXF,F3CRRKG85U8SJQD6.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Reader Pro with an entitlement to Amazon Q (free trial) - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,0.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Reader Pro Subscription with Amazon Q,Number of Reader Pro subscriptions in the service that include an entitlement to Amazon Q (free trial),USE1-Reader-Pro-Enterprise-Month-Q-Free-Trial,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Free
FQ5XERETVK9SRJ8P,JRTCKXETXF,FQ5XERETVK9SRJ8P.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Q Per Region Fee (us-east-1),2025-03-01,0,Inf,Month,250.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Q Region Fee,Monthly per region fee with Q,USE1-Region-Fee-Q,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Paid
NWBHWA6ZYWY3XSPZ,JRTCKXETXF,NWBHWA6ZYWY3XSPZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Enterprise Edition Author Pro - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,50.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Author Pro Subscription,Number of Author Pro subscriptions in the service,USE1-Author-Pro-Enterprise-Month,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Paid
R3ZAN9587A3TQTZC,JRTCKXETXF,R3ZAN9587A3TQTZC.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Q Per Region Fee - Free Trial (us-east-1),2025-03-01,0,Inf,Month,0.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Q Region Fee,Monthly per region fee with Q (free trial),USE1-Region-Free-Trial-Q,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Free
R8PKSKFCHES8YSKK,JRTCKXETXF,R8PKSKFCHES8YSKK.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Provisioned Enterprise SPICE Capacity in us-east-1,2025-03-01,0,Inf,GB-Mo,0.3800000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,SPICE Purchase,SPICE capacity (GB) provisioned,USE1-QS-Enterprise-SPICE,,Enterprise,Not Applicable,FALSE,us-east-1,Amazon QuickSight,Not Applicable,Paid
SBUGB4C3KP7CDT4C,JRTCKXETXF,SBUGB4C3KP7CDT4C.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Enterprise Edition Reader Pro (free trial) - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,0.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Reader Pro Subscription,Number of Reader Pro subscriptions in the service (free trial),USE1-Reader-Pro-Enterprise-Free-Trial,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Free
T4GAEKP5WQQWCUD5,JRTCKXETXF,T4GAEKP5WQQWCUD5.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Provisioned SPICE Capacity in us-east-1,2025-03-01,0,Inf,GB-Mo,0.2500000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,SPICE Purchase,SPICE capacity (GB) provisioned,USE1-QS-Provisioned-SPICE,,Standard,Not Applicable,FALSE,us-east-1,Amazon QuickSight,Not Applicable,Paid
TTN2WJDYC236NKSB,JRTCKXETXF,TTN2WJDYC236NKSB.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Enterprise Edition Author Pro with an entitlement to Amazon Q - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,30.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Author Pro Subscription with Amazon Q,Number of Author Pro subscriptions in the service that include an entitlement to Amazon Q,USE1-Author-Pro-Enterprise-Month-Q,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Paid
UBY76EGTFHTEHQKE,JRTCKXETXF,UBY76EGTFHTEHQKE.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD250.0 per month fee for Amazon Q in QuickSight for US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,Month,250.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Amazon Q in QuickSight Enablement Fee,Monthly fee for Amazon Q in QuickSight,USE1-Amazon-Q-QS-Fee,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Paid
VF5J4R2GXB38SGR7,JRTCKXETXF,VF5J4R2GXB38SGR7.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Enterprise Edition Reader (free trial) - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,0.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Reader Subscription,Number of Reader subscriptions in the service (free trial),USE1-Reader-Enterprise-Free-Trial,,Enterprise,Not Applicable,FALSE,us-east-1,Amazon QuickSight,Monthly,Free
YVR4TMSPWDQHPZH8,JRTCKXETXF,YVR4TMSPWDQHPZH8.JRTCKXETXF.6YS6EN2CT7,OnDemand,QuickSight Enterprise Edition Reader Pro - US East (N. Virginia) (us-east-1),2025-03-01,0,Inf,User,20.0000000000,USD,Business Analytics,AmazonQuickSight,US East (N. Virginia),AWS Region,Reader Pro Subscription,Number of Reader Pro subscriptions in the service,USE1-Reader-Pro-Enterprise-Month,,Enterprise,Not Applicable,TRUE,us-east-1,Amazon QuickSight,Monthly,Paid
